academic_term,academic_year,faculty,faculty_abbrev,subject,subject_abbrev,title
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,International Society: History, Philosophy and Theories
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Global Geography: Physical and Human Aspects
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,The 20th Century:  A Global Perspective
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,International Economics and Development
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,The Environment and International Relations
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Research in International Studies
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Illiberal Politics
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,International Relations
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Social Inequality
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Business Information Systems
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Paix, sécurité et droits humains internationaux
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Latin American Politics and Society
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Politics of the Middle East and North Africa
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Cities, Migrants, and the Politics of Belonging
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Honours Thesis
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Individual Studies
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Individual Studies
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Finance internationale
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Professional Internship
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Projet entrepreneurial
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Séminaire avancé
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Issues in International Law
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,American Foreign Policy
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,Corporate governance in an international context
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,International Refugee Protection/Protection internationale des réfugiés
Fall/Winter,2023-2024,GL,College universitaire Glendon,ILST,International Studies,English as a World Language
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Conference Interpreting I
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Court Interpreting II: English--Mandarin
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Healthcare Interpreting II: English--French
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Healthcare Interpreting II: English--Spanish
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Documentation & Professional Practice IV
Fall/Winter,2023-2024,GS,Faculty of Graduate Studies,INTE,Conference Interpreting,Documentation & Professional Practice V
